PVA (%),DTAB (%),result
0,0,0
0,0.002,
0,0.004,
0,0.006,
0,0.008,
0,0.01,
0,0.012,
0,0.014,
0,0.016,
0,0.018,
0,0.02,
0,0.022,
0,0.024,
0,0.026,
0,0.028,
0,0.03,
0,0.032,
0,0.034,
0,0.036,
0,0.038,
0,0.04,0
0.002,0,
0.002,0.002,
0.002,0.004,
0.002,0.006,
0.002,0.008,
0.002,0.01,
0.002,0.012,
0.002,0.014,
0.002,0.016,
0.002,0.018,
0.002,0.02,
0.002,0.022,
0.002,0.024,
0.002,0.026,
0.002,0.028,
0.002,0.03,
0.002,0.032,
0.002,0.034,
0.002,0.036,
0.002,0.038,
0.002,0.04,
0.004,0,
0.004,0.002,
0.004,0.004,
0.004,0.006,
0.004,0.008,0
0.004,0.01,
0.004,0.012,
0.004,0.014,
0.004,0.016,
0.004,0.018,
0.004,0.02,
0.004,0.022,
0.004,0.024,
0.004,0.026,
0.004,0.028,
0.004,0.03,
0.004,0.032,
0.004,0.034,
0.004,0.036,
0.004,0.038,
0.004,0.04,
0.006,0,
0.006,0.002,
0.006,0.004,
0.006,0.006,
0.006,0.008,
0.006,0.01,
0.006,0.012,
0.006,0.014,
0.006,0.016,
0.006,0.018,
0.006,0.02,
0.006,0.022,
0.006,0.024,
0.006,0.026,
0.006,0.028,
0.006,0.03,
0.006,0.032,
0.006,0.034,
0.006,0.036,
0.006,0.038,
0.006,0.04,
0.008,0,
0.008,0.002,
0.008,0.004,
0.008,0.006,
0.008,0.008,
0.008,0.01,
0.008,0.012,
0.008,0.014,
0.008,0.016,
0.008,0.018,
0.008,0.02,
0.008,0.022,
0.008,0.024,
0.008,0.026,
0.008,0.028,
0.008,0.03,
0.008,0.032,
0.008,0.034,
0.008,0.036,
0.008,0.038,
0.008,0.04,
0.01,0,1
0.01,0.002,
0.01,0.004,
0.01,0.006,
0.01,0.008,
0.01,0.01,
0.01,0.012,
0.01,0.014,
0.01,0.016,
0.01,0.018,
0.01,0.02,
0.01,0.022,
0.01,0.024,
0.01,0.026,
0.01,0.028,
0.01,0.03,
0.01,0.032,
0.01,0.034,
0.01,0.036,
0.01,0.038,
0.01,0.04,
0.012,0,1
0.012,0.002,
0.012,0.004,0
0.012,0.006,
0.012,0.008,
0.012,0.01,
0.012,0.012,
0.012,0.014,
0.012,0.016,
0.012,0.018,
0.012,0.02,
0.012,0.022,
0.012,0.024,
0.012,0.026,
0.012,0.028,
0.012,0.03,
0.012,0.032,
0.012,0.034,
0.012,0.036,
0.012,0.038,
0.012,0.04,
0.014,0,
0.014,0.002,1
0.014,0.004,
0.014,0.006,
0.014,0.008,
0.014,0.01,
0.014,0.012,
0.014,0.014,
0.014,0.016,
0.014,0.018,
0.014,0.02,
0.014,0.022,
0.014,0.024,
0.014,0.026,
0.014,0.028,
0.014,0.03,
0.014,0.032,
0.014,0.034,
0.014,0.036,
0.014,0.038,
0.014,0.04,
0.016,0,
0.016,0.002,
0.016,0.004,
0.016,0.006,
0.016,0.008,
0.016,0.01,
0.016,0.012,
0.016,0.014,
0.016,0.016,
0.016,0.018,
0.016,0.02,
0.016,0.022,
0.016,0.024,
0.016,0.026,
0.016,0.028,
0.016,0.03,
0.016,0.032,
0.016,0.034,
0.016,0.036,
0.016,0.038,
0.016,0.04,
0.018,0,
0.018,0.002,
0.018,0.004,
0.018,0.006,
0.018,0.008,
0.018,0.01,
0.018,0.012,
0.018,0.014,
0.018,0.016,
0.018,0.018,
0.018,0.02,
0.018,0.022,
0.018,0.024,
0.018,0.026,
0.018,0.028,
0.018,0.03,
0.018,0.032,
0.018,0.034,
0.018,0.036,
0.018,0.038,
0.018,0.04,
0.02,0,1
0.02,0.002,
0.02,0.004,
0.02,0.006,
0.02,0.008,
0.02,0.01,
0.02,0.012,
0.02,0.014,
0.02,0.016,
0.02,0.018,
0.02,0.02,
0.02,0.022,
0.02,0.024,
0.02,0.026,
0.02,0.028,
0.02,0.03,
0.02,0.032,
0.02,0.034,
0.02,0.036,
0.02,0.038,
0.02,0.04,
0.022,0,
0.022,0.002,
0.022,0.004,
0.022,0.006,
0.022,0.008,
0.022,0.01,
0.022,0.012,
0.022,0.014,
0.022,0.016,
0.022,0.018,
0.022,0.02,
0.022,0.022,
0.022,0.024,
0.022,0.026,
0.022,0.028,
0.022,0.03,
0.022,0.032,
0.022,0.034,
0.022,0.036,
0.022,0.038,
0.022,0.04,
0.024,0,
0.024,0.002,
0.024,0.004,
0.024,0.006,
0.024,0.008,
0.024,0.01,
0.024,0.012,
0.024,0.014,
0.024,0.016,
0.024,0.018,
0.024,0.02,
0.024,0.022,
0.024,0.024,
0.024,0.026,
0.024,0.028,
0.024,0.03,
0.024,0.032,
0.024,0.034,
0.024,0.036,
0.024,0.038,
0.024,0.04,
0.026,0,
0.026,0.002,
0.026,0.004,
0.026,0.006,
0.026,0.008,
0.026,0.01,
0.026,0.012,
0.026,0.014,
0.026,0.016,
0.026,0.018,
0.026,0.02,
0.026,0.022,
0.026,0.024,
0.026,0.026,
0.026,0.028,
0.026,0.03,
0.026,0.032,
0.026,0.034,
0.026,0.036,
0.026,0.038,
0.026,0.04,
0.028,0,
0.028,0.002,
0.028,0.004,
0.028,0.006,
0.028,0.008,
0.028,0.01,
0.028,0.012,
0.028,0.014,
0.028,0.016,
0.028,0.018,
0.028,0.02,
